loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2023-11-29T21:27:52.913+01:00,3385.218893416667,-0.1378021240234375,-0.612274169921875,-0.7385711669921875
2023-11-29T21:27:52.933+01:00,3385.238830416667,-0.1630859375,-0.648681640625,-0.737640380859375
2023-11-29T21:27:52.953+01:00,3385.258767416667,-0.216552734375,-0.6396331787109375,-0.726043701171875
2023-11-29T21:27:52.973+01:00,3385.278704416667,-0.1939849853515625,-0.6323089599609375,-0.71612548828125
2023-11-29T21:27:52.993+01:00,3385.298641416667,-0.2171173095703125,-0.6252593994140625,-0.7041168212890625
2023-11-29T21:27:53.013+01:00,3385.318578416667,-0.20843505859375,-0.59136962890625,-0.6953277587890625
2023-11-29T21:27:53.033+01:00,3385.338515416667,-0.21002197265625,-0.5985107421875,-0.71173095703125
2023-11-29T21:27:53.053+01:00,3385.358452416667,-0.189849853515625,-0.6109771728515625,-0.7249755859375
2023-11-29T21:27:53.073+01:00,3385.378389125,-0.1582183837890625,-0.6081390380859375,-0.7312469482421875
2023-11-29T21:27:53.096+01:00,3385.398326125,-0.149261474609375,-0.595367431640625,-0.7396087646484375
2023-11-29T21:27:53.112+01:00,3385.418263125,-0.1611175537109375,-0.6072540283203125,-0.76080322265625
2023-11-29T21:27:53.135+01:00,3385.438200125,-0.1663818359375,-0.5975799560546875,-0.781951904296875
2023-11-29T21:27:53.152+01:00,3385.458137125,-0.11480712890625,-0.60894775390625,-0.8037567138671875
2023-11-29T21:27:53.172+01:00,3385.478075125,-0.113250732421875,-0.6256103515625,-0.8077850341796875
2023-11-29T21:27:53.192+01:00,3385.498012125,-0.10150146484375,-0.639617919921875,-0.8194122314453125
2023-11-29T21:27:53.212+01:00,3385.517949125,-0.1258087158203125,-0.596343994140625,-0.8282318115234375
2023-11-29T21:27:53.232+01:00,3385.537886125,-0.0921173095703125,-0.5462188720703125,-0.8447723388671875
2023-11-29T21:27:53.252+01:00,3385.557823125,-0.0062713623046875,-0.5589599609375,-0.848358154296875
2023-11-29T21:27:53.272+01:00,3385.577760125,-0.0424957275390625,-0.5791778564453125,-0.839935302734375
2023-11-29T21:27:53.292+01:00,3385.597697125,-0.0734100341796875,-0.547515869140625,-0.839996337890625
2023-11-29T21:27:53.312+01:00,3385.617634125,-0.1173248291015625,-0.502655029296875,-0.8263092041015625
2023-11-29T21:27:53.332+01:00,3385.637571125,-0.1982421875,-0.48870849609375,-0.796844482421875
2023-11-29T21:27:53.352+01:00,3385.657508125,-0.2588958740234375,-0.4772186279296875,-0.7307281494140625
2023-11-29T21:27:53.372+01:00,3385.677445125,-0.3062896728515625,-0.4744415283203125,-0.629425048828125
2023-11-29T21:27:53.392+01:00,3385.697382125,-0.342437744140625,-0.4633026123046875,-0.53167724609375
2023-11-29T21:27:53.412+01:00,3385.717319125,-0.36090087890625,-0.439208984375,-0.44989013671875
2023-11-29T21:27:53.431+01:00,3385.737256125,-0.360443115234375,-0.3484344482421875,-0.3385162353515625
2023-11-29T21:27:53.451+01:00,3385.757193125,-0.3244171142578125,-0.270355224609375,-0.3561859130859375
