loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2023-11-29T21:30:05.217+01:00,3517.520592791667,-0.229827880859375,-0.3957366943359375,-0.886199951171875
2023-11-29T21:30:05.234+01:00,3517.540529791667,-0.1941375732421875,-0.405242919921875,-0.8809356689453125
2023-11-29T21:30:05.254+01:00,3517.560467791667,-0.1926116943359375,-0.457000732421875,-0.8561248779296875
2023-11-29T21:30:05.274+01:00,3517.580404791667,-0.2052001953125,-0.456146240234375,-0.8504791259765625
2023-11-29T21:30:05.294+01:00,3517.600341791667,-0.191009521484375,-0.42193603515625,-0.8538665771484375
2023-11-29T21:30:05.314+01:00,3517.620278791667,-0.1883544921875,-0.425079345703125,-0.850860595703125
2023-11-29T21:30:05.334+01:00,3517.640215791667,-0.1919403076171875,-0.4404754638671875,-0.8494110107421875
2023-11-29T21:30:05.354+01:00,3517.660152791667,-0.19952392578125,-0.4393463134765625,-0.85479736328125
2023-11-29T21:30:05.374+01:00,3517.680089791667,-0.188201904296875,-0.4405670166015625,-0.8630218505859375
2023-11-29T21:30:05.394+01:00,3517.700026791667,-0.1907958984375,-0.441558837890625,-0.8700408935546875
2023-11-29T21:30:05.414+01:00,3517.719963791667,-0.2015838623046875,-0.44537353515625,-0.8769073486328125
2023-11-29T21:30:05.434+01:00,3517.739900791667,-0.2058868408203125,-0.432830810546875,-0.8880462646484375
2023-11-29T21:30:05.454+01:00,3517.759838791667,-0.209747314453125,-0.40460205078125,-0.8955078125
2023-11-29T21:30:05.473+01:00,3517.779775791667,-0.2030792236328125,-0.382568359375,-0.9009552001953125
2023-11-29T21:30:05.493+01:00,3517.799712791667,-0.2099609375,-0.3966522216796875,-0.899505615234375
2023-11-29T21:30:05.513+01:00,3517.819649791667,-0.20843505859375,-0.405242919921875,-0.8921966552734375
2023-11-29T21:30:05.542+01:00,3517.839586791667,-0.202178955078125,-0.3880157470703125,-0.899139404296875
2023-11-29T21:30:05.554+01:00,3517.859523791667,-0.1926422119140625,-0.3549957275390625,-0.8993682861328125
2023-11-29T21:30:05.573+01:00,3517.879460791667,-0.19036865234375,-0.3681488037109375,-0.8961029052734375
2023-11-29T21:30:05.593+01:00,3517.899397791667,-0.18865966796875,-0.3749542236328125,-0.8964385986328125
2023-11-29T21:30:05.613+01:00,3517.919334791667,-0.1845245361328125,-0.37896728515625,-0.905914306640625
2023-11-29T21:30:05.633+01:00,3517.939272791667,-0.1842193603515625,-0.368560791015625,-0.911376953125
2023-11-29T21:30:05.653+01:00,3517.959209791667,-0.1880950927734375,-0.36993408203125,-0.914703369140625
