loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2023-11-29T21:24:41.496+01:00,3193.800868875,0.0161590576171875,-0.3115386962890625,-0.856109619140625
2023-11-29T21:24:41.516+01:00,3193.820805875,0.0428924560546875,-0.3829803466796875,-0.846893310546875
2023-11-29T21:24:41.536+01:00,3193.840743875,0.015533447265625,-0.3178558349609375,-0.8900909423828125
2023-11-29T21:24:41.556+01:00,3193.860681875,-0.0540771484375,-0.2990570068359375,-0.89910888671875
2023-11-29T21:24:41.576+01:00,3193.880618875,-0.0640716552734375,-0.2935638427734375,-0.8839263916015625
2023-11-29T21:24:41.596+01:00,3193.900556875,-0.075347900390625,-0.257904052734375,-0.8839111328125
2023-11-29T21:24:41.616+01:00,3193.920493875,-0.0674896240234375,-0.276824951171875,-0.896209716796875
2023-11-29T21:24:41.636+01:00,3193.940431875,-0.0850830078125,-0.32452392578125,-0.9079742431640625
2023-11-29T21:24:41.656+01:00,3193.960368875,-0.09259033203125,-0.32110595703125,-0.9156036376953125
2023-11-29T21:24:41.676+01:00,3193.980306875,-0.1189422607421875,-0.2866058349609375,-0.9448089599609375
2023-11-29T21:24:41.706+01:00,3194.000243875,-0.1152496337890625,-0.3590545654296875,-0.955963134765625
2023-11-29T21:24:41.715+01:00,3194.020181875,-0.112945556640625,-0.38104248046875,-0.9469451904296875
2023-11-29T21:24:41.735+01:00,3194.040118875,-0.12939453125,-0.3399658203125,-0.963470458984375
2023-11-29T21:24:41.755+01:00,3194.060056875,-0.15008544921875,-0.2961883544921875,-1.00714111328125
2023-11-29T21:24:41.775+01:00,3194.079994875,-0.160125732421875,-0.2853240966796875,-1.012039184570312
2023-11-29T21:24:41.803+01:00,3194.099931875,-0.17779541015625,-0.2797393798828125,-0.9950714111328125
2023-11-29T21:24:41.820+01:00,3194.119869875,-0.1869964599609375,-0.2692413330078125,-0.987640380859375
2023-11-29T21:24:41.835+01:00,3194.139806875,-0.1995849609375,-0.25390625,-0.9569244384765625
2023-11-29T21:24:41.855+01:00,3194.15974525,-0.1947174072265625,-0.2378082275390625,-0.9663543701171875
2023-11-29T21:24:41.875+01:00,3194.17968225,-0.1981964111328125,-0.20172119140625,-0.9803314208984375
2023-11-29T21:24:41.895+01:00,3194.19962025,-0.2234344482421875,-0.2326202392578125,-0.9842071533203125
2023-11-29T21:24:41.915+01:00,3194.21955725,-0.23150634765625,-0.2520599365234375,-0.9805450439453125
2023-11-29T21:24:41.935+01:00,3194.23949525,-0.210693359375,-0.2113189697265625,-0.9451141357421875
2023-11-29T21:24:41.955+01:00,3194.25943225,-0.1967010498046875,-0.2083740234375,-0.874114990234375
2023-11-29T21:24:41.975+01:00,3194.27937025,-0.1775054931640625,-0.206695556640625,-0.874908447265625
2023-11-29T21:24:41.994+01:00,3194.29930725,-0.1762847900390625,-0.2002105712890625,-0.9091339111328125
2023-11-29T21:24:42.014+01:00,3194.31924525,-0.186737060546875,-0.231201171875,-0.9115753173828125
2023-11-29T21:24:42.034+01:00,3194.33918325,-0.1988983154296875,-0.264007568359375,-0.8733062744140625
2023-11-29T21:24:42.055+01:00,3194.35912025,-0.2398529052734375,-0.27679443359375,-0.8751983642578125
2023-11-29T21:24:42.074+01:00,3194.37905825,-0.2924041748046875,-0.25799560546875,-0.895660400390625
2023-11-29T21:24:42.094+01:00,3194.39899525,-0.3446044921875,-0.2259521484375,-0.876861572265625
2023-11-29T21:24:42.114+01:00,3194.41893325,-0.440185546875,-0.2207183837890625,-0.8315582275390625
2023-11-29T21:24:42.134+01:00,3194.43887025,-0.70361328125,-0.3649139404296875,-0.7998199462890625
2023-11-29T21:24:42.154+01:00,3194.45880825,-0.6227874755859375,-0.3590087890625,-0.76654052734375
2023-11-29T21:24:42.174+01:00,3194.47874525,-0.76458740234375,-0.32501220703125,-0.75396728515625
2023-11-29T21:24:42.194+01:00,3194.49868325,-0.7981414794921875,-0.2784271240234375,-0.6487579345703125
2023-11-29T21:24:42.214+01:00,3194.51862025,-0.7923736572265625,-0.2170257568359375,-0.5558929443359375
2023-11-29T21:24:42.234+01:00,3194.53855825,-0.7697296142578125,-0.0944061279296875,-0.491546630859375
2023-11-29T21:24:42.254+01:00,3194.55849625,-0.7358245849609375,-0.016387939453125,-0.4453125
2023-11-29T21:24:42.275+01:00,3194.57843325,-0.673004150390625,0.0634307861328125,-0.3768768310546875
2023-11-29T21:24:42.294+01:00,3194.59837125,-0.614105224609375,0.1772613525390625,-0.347320556640625
2023-11-29T21:24:42.314+01:00,3194.61830825,-0.5477142333984375,0.3440093994140625,-0.343109130859375
2023-11-29T21:24:42.334+01:00,3194.63824625,-0.4995574951171875,0.476806640625,-0.356689453125
2023-11-29T21:24:42.354+01:00,3194.65818325,-0.482879638671875,0.6429901123046875,-0.41033935546875
2023-11-29T21:24:42.373+01:00,3194.67812125,-0.458709716796875,0.8797607421875,-0.5012054443359375
2023-11-29T21:24:42.393+01:00,3194.69805825,-0.4078826904296875,1.037551879882812,-0.5638427734375
2023-11-29T21:24:42.416+01:00,3194.71799625,-0.3838653564453125,0.9446258544921875,-0.6334228515625
2023-11-29T21:24:42.435+01:00,3194.73793325,-0.3650970458984375,0.8354034423828125,-0.6400909423828125
2023-11-29T21:24:42.453+01:00,3194.75787125,-0.3964691162109375,0.8432159423828125,-0.683868408203125
2023-11-29T21:24:42.473+01:00,3194.77780925,-0.3670501708984375,0.804779052734375,-0.7149505615234375
