loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2023-11-21T16:55:05.572+01:00,6380.8655085,0.24945068359375,0.1775054931640625,-0.9585418701171875,6380.848074500001,0.0741308981324507,0.2616512692673872,-0.209985960052077,0.09240095317363739,0.01257737074047327,-0.03172573447227478,-0.003146469593048096,0.001484230160713196,-0.02752918004989624,XArbitraryZVertical,-0.1086408128056569,0.1257949008453765,0.0228758914447821,0.9858243130862456,0.2529938519001007,0.2084461748600006,-0.944745659828186,0,0,0,-1,-1
2023-11-21T16:55:05.576+01:00,6380.885447500001,0.25836181640625,0.184722900390625,-0.952880859375,6380.8680125,0.07345003067834238,0.2617009014500162,-0.2093192319549933,0.0004083960084244609,0.006889890879392624,-0.01939330063760281,-0.003625988960266113,-0.03028856217861176,-0.01367479562759399,XArbitraryZVertical,-0.1082702278577802,0.1258729579912521,0.02258208572467926,0.9858619099558313,0.2530766427516937,0.2077940404415131,-0.9448671340942383,0,0,0,-1,-1
2023-11-21T16:55:05.595+01:00,6380.9053855,0.2570343017578125,0.1934661865234375,-0.9457855224609375,6380.887951500001,0.07285748876128804,0.2617626105170657,-0.2088982297796254,0.04932919889688492,0.005424187518656254,-0.0302046425640583,0.005204230546951294,-0.02265933156013489,-0.007944941520690918,XArbitraryZVertical,-0.1080263023721171,0.1259458759291725,0.02231476006766287,0.9858854164756892,0.2531575560569763,0.2073822021484375,-0.9449359178543091,0,0,0,-1,-1
2023-11-21T16:55:05.614+01:00,6380.9253245,0.2574310302734375,0.17681884765625,-0.94012451171875,6380.9078895,0.07208065693954932,0.26166064392859,-0.2078571639346474,0.04193470999598503,-0.003608556231483817,-0.02733857557177544,0.00391736626625061,-0.01289750635623932,-0.0006157755851745605,XArbitraryZVertical,-0.107463551667749,0.1259631071180369,0.022006759444923,0.9859516982338377,0.2531169354915619,0.2063636630773544,-0.9451697468757629,0,0,0,-1,-1
2023-11-21T16:55:05.635+01:00,6380.945263500001,0.255706787109375,0.1823272705078125,-0.9427490234375,6380.9278285,0.07135046208576927,0.2612988343969902,-0.207157032659943,0.04614601284265518,-0.02509164437651634,-0.03304554522037506,0.004618793725967407,-0.02885973453521729,0.005276143550872803,XArbitraryZVertical,-0.1070688158686963,0.1258410054487184,0.02171283518729696,0.9860167011210544,0.2528122067451477,0.2056785523891449,-0.945400595664978,0,0,0,-1,-1
2023-11-21T16:55:05.655+01:00,6380.9652015,0.2602386474609375,0.16839599609375,-0.9477386474609375,6380.947767500001,0.07039961885247414,0.2604829456302443,-0.2061071841694765,0.07544291019439697,-0.03200467675924301,-0.02818074636161327,0.003610521554946899,-0.02232378721237183,0.003065645694732666,XArbitraryZVertical,-0.1064831605478221,0.1255148797319625,0.0213573686896359,0.9861294958692705,0.2520962357521057,0.2046510428190231,-0.9458147287368774,0,0,0,-1,-1
2023-11-21T16:55:05.675+01:00,6380.9851405,0.2511749267578125,0.1597747802734375,-0.96478271484375,6380.9677055,0.06960385676577392,0.2597181735800971,-0.2044940745337914,0.08192619681358337,-0.03686028718948364,-0.01791447401046753,0.008781313896179199,-0.03467585146427155,-0.001413583755493164,XArbitraryZVertical,-0.1056304940704969,0.1252185263570574,0.02111238467072918,0.9862640860220384,0.2514573037624359,0.203071802854538,-0.9463250637054443,0,0,0,-1,-1
2023-11-21T16:55:05.694+01:00,6381.0050785,0.256622314453125,0.1532440185546875,-0.9774322509765625,6380.9876445,0.06878074486543682,0.2585883823193675,-0.2026542467823323,0.111463762819767,-0.06229474022984505,-0.01457273866981268,0.0006917715072631836,-0.04149521887302399,-0.01781457662582397,XArbitraryZVertical,-0.1046606756610917,0.1247480776915657,0.02088722962145277,0.9864318602444427,0.2504830956459045,0.2012699693441391,-0.946968138217926,0,0,0,-1,-1
2023-11-21T16:55:05.715+01:00,6381.0250175,0.2558135986328125,0.1666259765625,-1.000732421875,6381.0075825,0.06782435221236843,0.2567047987906546,-0.1991214461453119,0.2774409353733063,-0.1185884401202202,0.01618266850709915,0.007744342088699341,-0.04456423223018646,-0.0293121337890625,XArbitraryZVertical,-0.1028404599400063,0.1239507846440316,0.02074480973209167,0.9867268386850736,0.2488779425621033,0.1978082060813904,-0.9481200575828552,0,0,0,-1,-1
2023-11-21T16:55:05.735+01:00,6381.0449555,0.2391357421875,0.1689300537109375,-1.012283325195312,6381.0275215,0.06667410319866435,0.2540319447448873,-0.1920314759075904,0.4317216873168945,-0.1270628869533539,0.0419529601931572,0.009124457836151123,-0.02422745525836945,-0.05061691999435425,XArbitraryZVertical,-0.09924588642043602,0.1228515687730529,0.02077274974615064,0.9872316057861114,0.2466891258955002,0.1908534169197083,-0.9501155018806458,0,0,0,-1,-1
